,presence_freq_y=1,presence_freq_y=-1,difference (y=1-y=-1),chi2_stat,p_value,FDR_q
CHEBI:35819,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:55374,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEMONTID:0003924,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:38532,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:36141,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEMONTID:0001118,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEMONTID:0003026,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:26518,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEMONTID:0000196,0.0,0.0065903572667360385,-0.0065903572667360385,0.3051358061774616,0.5806805020999468,0.9059691280103913
CHEBI:37143,0.13043478260869565,0.10544571626777662,0.024989066340919033,0.2987615565973186,0.5846598571311421,0.9059691280103913
CHEBI:22478,0.06521739130434782,0.08810267082899757,-0.02288527952464975,0.2962543331822255,0.5862402023649784,0.9059691280103913
CHEMONTID:0001292,0.08695652173913043,0.06694415539368713,0.020012366345443303,0.28904922780670955,0.5908304525565615,0.9059691280103913
CHEMONTID:0002317,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0000417,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0000423,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0004155,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0002938,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEBI:23495,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEBI:50114,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0000252,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEBI:26776,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0000253,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0004361,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0003881,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0001911,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEBI:38193,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0003570,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEMONTID:0000159,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEBI:32955,0.0,0.006243496357960458,-0.006243496357960458,0.28897672218943465,0.5908770181005407,0.9059691280103913
CHEBI:22187,0.021739130434782608,0.012833853624696497,0.008905276810086111,0.28040451648794407,0.596436204835755,0.9059691280103913
CHEMONTID:0000099,0.021739130434782608,0.012833853624696497,0.008905276810086111,0.28040451648794407,0.596436204835755,0.9059691280103913
CHEMONTID:0000023,0.021739130434782608,0.012833853624696497,0.008905276810086111,0.28040451648794407,0.596436204835755,0.9059691280103913
CHEBI:24532,0.5869565217391305,0.625043357613597,-0.038086835874466485,0.28006913108884823,0.5966559093533751,0.9059691280103913
CHEBI:37784,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0001893,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:48589,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:48592,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0002452,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
